tch,assignmenttitle,ct,cc
tch_20200511-174541_576,asgmt_200716_tch_20200511-174541_576,class_20200511-174541_576,6p9g-J43D
tch_20200511-174541_575,asgmt_200716_tch_20200511-174541_575,class_20200511-174541_575,2bVZ-z8g6
tch_20200511-174541_577,asgmt_200716_tch_20200511-174541_577,class_20200511-174541_577,QRQn-mai7
tch_20200511-174541_578,asgmt_200716_tch_20200511-174541_578,class_20200511-174541_578,4TDo-usYc
tch_20200511-174541_579,asgmt_200716_tch_20200511-174541_579,class_20200511-174541_579,yRU9-tY8s
tch_20200511-174541_580,asgmt_200716_tch_20200511-174541_580,class_20200511-174541_580,pk2T-7h4r
tch_20200511-174541_581,asgmt_200716_tch_20200511-174541_581,class_20200511-174541_581,v4Xc-6Pyw
tch_20200511-174541_582,asgmt_200716_tch_20200511-174541_582,class_20200511-174541_582,q7dj-yidR
tch_20200511-174541_583,asgmt_200716_tch_20200511-174541_583,class_20200511-174541_583,8Wbe-NP9i
tch_20200511-174541_584,asgmt_200716_tch_20200511-174541_584,class_20200511-174541_584,k67o-HTC9
tch_20200511-174541_585,asgmt_200716_tch_20200511-174541_585,class_20200511-174541_585,Y4oj-8kPn
tch_20200511-174541_587,asgmt_200716_tch_20200511-174541_587,class_20200511-174541_587,4uT7-w3g6
tch_20200511-174541_586,asgmt_200716_tch_20200511-174541_586,class_20200511-174541_586,4iK3-JoYQ
tch_20200511-174541_588,asgmt_200716_tch_20200511-174541_588,class_20200511-174541_588,F4ZU-tGQe
tch_20200511-174541_589,asgmt_200716_tch_20200511-174541_589,class_20200511-174541_589,chFC-437s
tch_20200511-174541_590,asgmt_200716_tch_20200511-174541_590,class_20200511-174541_590,gsk6-ARAK
tch_20200511-174541_591,asgmt_200716_tch_20200511-174541_591,class_20200511-174541_591,V27m-fs4t
tch_20200511-174541_593,asgmt_200716_tch_20200511-174541_593,class_20200511-174541_593,3My2-viXZ
tch_20200511-174541_592,asgmt_200716_tch_20200511-174541_592,class_20200511-174541_592,2L6X-PUE7
tch_20200511-174541_595,asgmt_200716_tch_20200511-174541_595,class_20200511-174541_595,u9DM-9N63
tch_20200511-174541_594,asgmt_200716_tch_20200511-174541_594,class_20200511-174541_594,4vtN-j2wd
tch_20200511-174541_596,asgmt_200716_tch_20200511-174541_596,class_20200511-174541_596,up4D-6X8c
tch_20200511-174541_597,asgmt_200716_tch_20200511-174541_597,class_20200511-174541_597,h4iv-rL64
tch_20200511-174541_599,asgmt_200716_tch_20200511-174541_599,class_20200511-174541_599,bzWc-ykwn
tch_20200511-174541_598,asgmt_200716_tch_20200511-174541_598,class_20200511-174541_598,3fqD-G386
tch_20200511-174541_600,asgmt_200716_tch_20200511-174541_600,class_20200511-174541_600,MXZJ-Y8at
tch_20200511-174541_601,asgmt_200716_tch_20200511-174541_601,class_20200511-174541_601,236V-gVPX
tch_20200511-174541_602,asgmt_200716_tch_20200511-174541_602,class_20200511-174541_602,PcAc-kip2
tch_20200511-174541_603,asgmt_200716_tch_20200511-174541_603,class_20200511-174541_603,Zbn4-2g24
tch_20200511-174541_604,asgmt_200716_tch_20200511-174541_604,class_20200511-174541_604,LWd3-eQmT
tch_20200511-174541_605,asgmt_200716_tch_20200511-174541_605,class_20200511-174541_605,ejFv-DBiM
tch_20200511-174541_606,asgmt_200716_tch_20200511-174541_606,class_20200511-174541_606,wT2w-9V3X
tch_20200511-174541_607,asgmt_200716_tch_20200511-174541_607,class_20200511-174541_607,64dZ-c76m
tch_20200511-174541_608,asgmt_200716_tch_20200511-174541_608,class_20200511-174541_608,XEgC-9C8i
tch_20200511-174541_609,asgmt_200716_tch_20200511-174541_609,class_20200511-174541_609,2MWC-TrCg
tch_20200511-174541_610,asgmt_200716_tch_20200511-174541_610,class_20200511-174541_610,4jd4-L6ka
tch_20200511-174541_611,asgmt_200716_tch_20200511-174541_611,class_20200511-174541_611,YcG7-4FgP
tch_20200511-174541_612,asgmt_200716_tch_20200511-174541_612,class_20200511-174541_612,NLYo-BRWA
tch_20200511-174541_613,asgmt_200716_tch_20200511-174541_613,class_20200511-174541_613,Pkj7-bmuk
tch_20200511-174541_614,asgmt_200716_tch_20200511-174541_614,class_20200511-174541_614,iA97-p892
tch_20200511-174541_615,asgmt_200716_tch_20200511-174541_615,class_20200511-174541_615,kU86-p7Zy
tch_20200511-174541_617,asgmt_200716_tch_20200511-174541_617,class_20200511-174541_617,KvTz-6gcq
tch_20200511-174541_616,asgmt_200716_tch_20200511-174541_616,class_20200511-174541_616,NM9b-KtAg
tch_20200511-174541_618,asgmt_200716_tch_20200511-174541_618,class_20200511-174541_618,8ogQ-GqHt
tch_20200511-174541_619,asgmt_200716_tch_20200511-174541_619,class_20200511-174541_619,aQfC-d96j
tch_20200511-174541_620,asgmt_200716_tch_20200511-174541_620,class_20200511-174541_620,BDqk-K4Mz
tch_20200511-174541_621,asgmt_200716_tch_20200511-174541_621,class_20200511-174541_621,jMz3-Tq7p
tch_20200511-174541_622,asgmt_200716_tch_20200511-174541_622,class_20200511-174541_622,GB72-VC89
tch_20200511-174541_623,asgmt_200716_tch_20200511-174541_623,class_20200511-174541_623,Q2Yi-FfdZ
tch_20200511-174541_624,asgmt_200716_tch_20200511-174541_624,class_20200511-174541_624,D7Zu-TCj2
tch_20200511-174541_625,asgmt_200716_tch_20200511-174541_625,class_20200511-174541_625,L9NZ-V4Rd
tch_20200511-174541_626,asgmt_200716_tch_20200511-174541_626,class_20200511-174541_626,H26U-DT4M
tch_20200511-174541_627,asgmt_200716_tch_20200511-174541_627,class_20200511-174541_627,7drN-k8bM
tch_20200511-174541_628,asgmt_200716_tch_20200511-174541_628,class_20200511-174541_628,Y427-nrdZ
tch_20200511-174541_629,asgmt_200716_tch_20200511-174541_629,class_20200511-174541_629,xG63-c3C2
tch_20200511-174541_630,asgmt_200716_tch_20200511-174541_630,class_20200511-174541_630,yGfL-CPBn
tch_20200511-174541_631,asgmt_200716_tch_20200511-174541_631,class_20200511-174541_631,Vd8w-Le3a
tch_20200511-174541_633,asgmt_200716_tch_20200511-174541_633,class_20200511-174541_633,Qj76-K2Jr
tch_20200511-174541_632,asgmt_200716_tch_20200511-174541_632,class_20200511-174541_632,rjFw-rZ6E
tch_20200511-174541_634,asgmt_200716_tch_20200511-174541_634,class_20200511-174541_634,AhKB-L6n9
tch_20200511-174541_635,asgmt_200716_tch_20200511-174541_635,class_20200511-174541_635,NGuk-9EDW
tch_20200511-174541_636,asgmt_200716_tch_20200511-174541_636,class_20200511-174541_636,9BaC-zd7Y
tch_20200602-134008_20,asgmt_200716_tch_20200602-134008_20,class_20200602-134008_20,ksiH-C4rf
tch_20200602-134008_21,asgmt_200716_tch_20200602-134008_21,class_20200602-134008_21,9Beu-Px6o
tch_20200602-134008_23,asgmt_200716_tch_20200602-134008_23,class_20200602-134008_23,2Zzb-j39Z
tch_20200602-134008_24,asgmt_200716_tch_20200602-134008_24,class_20200602-134008_24,YVFh-N7Yx
tch_20200602-134008_26,asgmt_200716_tch_20200602-134008_26,class_20200602-134008_26,Tyqr-2v92
tch_20200602-134008_27,asgmt_200716_tch_20200602-134008_27,class_20200602-134008_27,ru26-m48t
tch_20200602-134008_25,asgmt_200716_tch_20200602-134008_25,class_20200602-134008_25,R9fY-tnZ3
tch_20200602-134008_28,asgmt_200716_tch_20200602-134008_28,class_20200602-134008_28,sM2d-7e8A
tch_20200602-134008_30,asgmt_200716_tch_20200602-134008_30,class_20200602-134008_30,oALb-9HBN
tch_20200602-134008_29,asgmt_200716_tch_20200602-134008_29,class_20200602-134008_29,suRC-bdw6
tch_20200602-134008_31,asgmt_200716_tch_20200602-134008_31,class_20200602-134008_31,QUdP-Fjzc
tch_20200602-134008_32,asgmt_200716_tch_20200602-134008_32,class_20200602-134008_32,R867-RL4z
tch_20200602-134008_33,asgmt_200716_tch_20200602-134008_33,class_20200602-134008_33,qKnX-PXqV
tch_20200602-134008_34,asgmt_200716_tch_20200602-134008_34,class_20200602-134008_34,jF3C-3KMc
tch_20200602-134008_37,asgmt_200716_tch_20200602-134008_37,class_20200602-134008_37,hepc-8j39
tch_20200602-134008_38,asgmt_200716_tch_20200602-134008_38,class_20200602-134008_38,X2Y6-9utz
tch_20200602-134008_36,asgmt_200716_tch_20200602-134008_36,class_20200602-134008_36,892n-v2mB
tch_20200602-134008_35,asgmt_200716_tch_20200602-134008_35,class_20200602-134008_35,jo63-CWsx
tch_20200602-134008_40,asgmt_200716_tch_20200602-134008_40,class_20200602-134008_40,vivn-Lbat
tch_20200602-134008_41,asgmt_200716_tch_20200602-134008_41,class_20200602-134008_41,VLqt-3DcU
tch_20200602-134008_42,asgmt_200716_tch_20200602-134008_42,class_20200602-134008_42,8ky6-39k4
tch_20200602-134008_39,asgmt_200716_tch_20200602-134008_39,class_20200602-134008_39,X7Bg-p7Bo
tch_20200602-134008_43,asgmt_200716_tch_20200602-134008_43,class_20200602-134008_43,LgEh-UZ97
tch_20200602-134008_44,asgmt_200716_tch_20200602-134008_44,class_20200602-134008_44,Jd6U-ZUWY
tch_20200602-134008_45,asgmt_200716_tch_20200602-134008_45,class_20200602-134008_45,evko-9t47
tch_20200602-134008_46,asgmt_200716_tch_20200602-134008_46,class_20200602-134008_46,s2W7-T9mV
tch_20200602-134008_49,asgmt_200716_tch_20200602-134008_49,class_20200602-134008_49,3ZTb-j6gL
tch_20200602-134008_47,asgmt_200716_tch_20200602-134008_47,class_20200602-134008_47,VAop-4ngY
tch_20200602-134008_48,asgmt_200716_tch_20200602-134008_48,class_20200602-134008_48,K8k9-XEsH
tch_20200602-134008_50,asgmt_200716_tch_20200602-134008_50,class_20200602-134008_50,pb9P-Y942
tch_20200602-134008_52,asgmt_200716_tch_20200602-134008_52,class_20200602-134008_52,6Yjp-VDR4
tch_20200602-134008_51,asgmt_200716_tch_20200602-134008_51,class_20200602-134008_51,pQzt-7mD8
tch_20200602-134008_53,asgmt_200716_tch_20200602-134008_53,class_20200602-134008_53,y4i9-7r39
tch_20200602-134008_54,asgmt_200716_tch_20200602-134008_54,class_20200602-134008_54,4u63-k4rZ
tch_20200602-134008_56,asgmt_200716_tch_20200602-134008_56,class_20200602-134008_56,i9RC-Ta68
tch_20200602-134008_55,asgmt_200716_tch_20200602-134008_55,class_20200602-134008_55,zHP6-eN8C
tch_20200602-134008_57,asgmt_200716_tch_20200602-134008_57,class_20200602-134008_57,KYFM-m3Kw
tch_20200602-134008_58,asgmt_200716_tch_20200602-134008_58,class_20200602-134008_58,yaPJ-PTJ6
tch_20200602-134008_59,asgmt_200716_tch_20200602-134008_59,class_20200602-134008_59,4gDe-kq34
tch_20200602-134008_60,asgmt_200716_tch_20200602-134008_60,class_20200602-134008_60,HTKU-8mNP
tch_20200602-134008_61,asgmt_200716_tch_20200602-134008_61,class_20200602-134008_61,Q439-o63k
tch_20200602-134008_63,asgmt_200716_tch_20200602-134008_63,class_20200602-134008_63,EzAP-KkQ9
tch_20200602-134008_65,asgmt_200716_tch_20200602-134008_65,class_20200602-134008_65,zGdU-Z6d2
tch_20200602-134008_62,asgmt_200716_tch_20200602-134008_62,class_20200602-134008_62,iQcX-YEq4
tch_20200602-134008_64,asgmt_200716_tch_20200602-134008_64,class_20200602-134008_64,T9AB-C7dD
tch_20200602-134008_66,asgmt_200716_tch_20200602-134008_66,class_20200602-134008_66,QARk-Ggoa
tch_20200602-134008_67,asgmt_200716_tch_20200602-134008_67,class_20200602-134008_67,BaR6-4L2M
tch_20200602-134008_68,asgmt_200716_tch_20200602-134008_68,class_20200602-134008_68,2Pd8-MiJf
tch_20200602-134008_70,asgmt_200716_tch_20200602-134008_70,class_20200602-134008_70,HL7u-Uz92
tch_20200602-134008_71,asgmt_200716_tch_20200602-134008_71,class_20200602-134008_71,PfKc-mtN2
tch_20200602-134008_69,asgmt_200716_tch_20200602-134008_69,class_20200602-134008_69,sXGL-32K8
tch_20200602-134008_73,asgmt_200716_tch_20200602-134008_73,class_20200602-134008_73,LMgV-q6Kx
tch_20200602-134008_72,asgmt_200716_tch_20200602-134008_72,class_20200602-134008_72,67Kc-nqNq
tch_20200602-134008_76,asgmt_200716_tch_20200602-134008_76,class_20200602-134008_76,UTKL-uNKX
tch_20200602-134008_74,asgmt_200716_tch_20200602-134008_74,class_20200602-134008_74,w8tc-MNa9
tch_20200602-134008_75,asgmt_200716_tch_20200602-134008_75,class_20200602-134008_75,Z7yg-zj6Q
tch_20200602-134008_79,asgmt_200716_tch_20200602-134008_79,class_20200602-134008_79,2uxK-ErT9
tch_20200602-134008_80,asgmt_200716_tch_20200602-134008_80,class_20200602-134008_80,b73c-npa4
tch_20200602-134008_77,asgmt_200716_tch_20200602-134008_77,class_20200602-134008_77,6np2-FRuo
tch_20200602-134008_78,asgmt_200716_tch_20200602-134008_78,class_20200602-134008_78,vw4L-aPNK
tch_20200602-134008_82,asgmt_200716_tch_20200602-134008_82,class_20200602-134008_82,pbvc-RQme
tch_20200602-134008_81,asgmt_200716_tch_20200602-134008_81,class_20200602-134008_81,vmKh-cv3Z
tch_20200602-134008_85,asgmt_200716_tch_20200602-134008_85,class_20200602-134008_85,m2u4-n89Y
tch_20200602-134008_84,asgmt_200716_tch_20200602-134008_84,class_20200602-134008_84,AGN9-nFwU
tch_20200602-134008_83,asgmt_200716_tch_20200602-134008_83,class_20200602-134008_83,V9Vq-T97Z
tch_20200602-134008_86,asgmt_200716_tch_20200602-134008_86,class_20200602-134008_86,C97x-6DhL
tch_20200602-134008_87,asgmt_200716_tch_20200602-134008_87,class_20200602-134008_87,2Tie-K4tn
tch_20200602-134008_88,asgmt_200716_tch_20200602-134008_88,class_20200602-134008_88,RH2z-d6Ja
tch_20200602-134008_89,asgmt_200716_tch_20200602-134008_89,class_20200602-134008_89,984o-X6Vg
tch_20200602-134008_91,asgmt_200716_tch_20200602-134008_91,class_20200602-134008_91,r9Rf-cY3F
tch_20200602-134008_92,asgmt_200716_tch_20200602-134008_92,class_20200602-134008_92,NWh7-6k4q
tch_20200602-134008_90,asgmt_200716_tch_20200602-134008_90,class_20200602-134008_90,xHx8-23ra
tch_20200602-134008_93,asgmt_200716_tch_20200602-134008_93,class_20200602-134008_93,9a27-LK6C
tch_20200602-134008_94,asgmt_200716_tch_20200602-134008_94,class_20200602-134008_94,6Nyu-rn76
tch_20200602-134008_95,asgmt_200716_tch_20200602-134008_95,class_20200602-134008_95,PXdq-VFGR
tch_20200602-134008_96,asgmt_200716_tch_20200602-134008_96,class_20200602-134008_96,TZmc-wmTt
tch_20200602-134008_101,asgmt_200716_tch_20200602-134008_101,class_20200602-134008_101,4cuF-9Lh6
tch_20200602-134008_97,asgmt_200716_tch_20200602-134008_97,class_20200602-134008_97,4h6F-MeE4
tch_20200602-134008_98,asgmt_200716_tch_20200602-134008_98,class_20200602-134008_98,t8dc-Bp97
tch_20200602-134008_100,asgmt_200716_tch_20200602-134008_100,class_20200602-134008_100,8dbt-4EjF
tch_20200602-134008_99,asgmt_200716_tch_20200602-134008_99,class_20200602-134008_99,wb7u-qj7Y
tch_20200602-134008_102,asgmt_200716_tch_20200602-134008_102,class_20200602-134008_102,wbqK-X34T
tch_20200602-134008_103,asgmt_200716_tch_20200602-134008_103,class_20200602-134008_103,QXoJ-edVm
tch_20200602-134008_104,asgmt_200716_tch_20200602-134008_104,class_20200602-134008_104,6E3E-zs9v
tch_20200602-134008_105,asgmt_200716_tch_20200602-134008_105,class_20200602-134008_105,GXA3-vM7r
tch_20200602-134008_107,asgmt_200716_tch_20200602-134008_107,class_20200602-134008_107,U8KR-w2Y9
tch_20200602-134008_106,asgmt_200716_tch_20200602-134008_106,class_20200602-134008_106,9a7h-Rn8v
tch_20200602-134008_112,asgmt_200716_tch_20200602-134008_112,class_20200602-134008_112,JkXN-BADP
tch_20200602-134008_109,asgmt_200716_tch_20200602-134008_109,class_20200602-134008_109,tjP9-sE2x
tch_20200602-134008_110,asgmt_200716_tch_20200602-134008_110,class_20200602-134008_110,XiV9-PNjA
tch_20200602-134008_108,asgmt_200716_tch_20200602-134008_108,class_20200602-134008_108,y6b4-M7X7
tch_20200602-134008_111,asgmt_200716_tch_20200602-134008_111,class_20200602-134008_111,8J43-Mc8g
tch_20200602-134008_115,asgmt_200716_tch_20200602-134008_115,class_20200602-134008_115,dvVE-khmd
tch_20200602-134008_113,asgmt_200716_tch_20200602-134008_113,class_20200602-134008_113,t794-F7fV
tch_20200602-134008_114,asgmt_200716_tch_20200602-134008_114,class_20200602-134008_114,6yTr-T7L7
tch_20200602-134008_116,asgmt_200716_tch_20200602-134008_116,class_20200602-134008_116,ineb-2UKq
tch_20200602-134008_117,asgmt_200716_tch_20200602-134008_117,class_20200602-134008_117,c4PR-WUX4
tch_20200602-134008_120,asgmt_200716_tch_20200602-134008_120,class_20200602-134008_120,cyh7-6nMa
tch_20200602-134008_118,asgmt_200716_tch_20200602-134008_118,class_20200602-134008_118,48a6-ECEh
tch_20200602-134008_119,asgmt_200716_tch_20200602-134008_119,class_20200602-134008_119,3uP2-nmCH
tch_20200602-134008_122,asgmt_200716_tch_20200602-134008_122,class_20200602-134008_122,q3BU-39GR
tch_20200602-134008_124,asgmt_200716_tch_20200602-134008_124,class_20200602-134008_124,f3Qn-haz6
tch_20200602-134008_121,asgmt_200716_tch_20200602-134008_121,class_20200602-134008_121,J7Zf-N73c
tch_20200602-134008_123,asgmt_200716_tch_20200602-134008_123,class_20200602-134008_123,VQC2-4wVA
tch_20200602-134008_126,asgmt_200716_tch_20200602-134008_126,class_20200602-134008_126,2r9w-2Wp9
tch_20200602-134008_127,asgmt_200716_tch_20200602-134008_127,class_20200602-134008_127,2q73-q7wE
tch_20200602-134008_125,asgmt_200716_tch_20200602-134008_125,class_20200602-134008_125,WxDG-FeDx
tch_20200602-134008_130,asgmt_200716_tch_20200602-134008_130,class_20200602-134008_130,4snY-wxGd
tch_20200602-134008_129,asgmt_200716_tch_20200602-134008_129,class_20200602-134008_129,hqj3-XvrV
tch_20200602-134008_128,asgmt_200716_tch_20200602-134008_128,class_20200602-134008_128,2gox-Goay
